dimension_reduction_type,model,alpha,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.1,1.4663479075848302,1.1002020519558555,0.1654756270352593,0.6447556320546637,0.7636363636363637
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.5,1.3425028355712008,1.014654900112703,0.3004876267464638,0.6564356363057025,0.7818181818181819
"Lasso (alpha=1.0, top-100)",Poisson Regression,1.0,1.2836582157127105,0.9891804638220822,0.3604657807711845,0.6667762964551985,0.8
"Lasso (alpha=1.0, top-100)",Poisson Regression,5.0,1.2733443245804499,1.0104644019779958,0.37070150743555863,0.6878686568405259,0.7181818181818181
"Lasso (alpha=1.0, top-100)",Poisson Regression,10.0,1.343212075721543,1.0958314776100306,0.29974833101082465,0.6836104662832079,0.6363636363636364
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.1,1.9908252244662306,1.3695720075225966,-0.5382653130577784,0.5931908841452743,0.6636363636363637
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.5,1.5163745872999783,1.1334813410381523,0.10756216778896988,0.6409916132865355,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Poisson Regression,1.0,1.320305534483596,1.0118165012067117,0.32342824213834453,0.6767567192256588,0.7818181818181819
"Ridge (alpha=1.0, top-100)",Poisson Regression,5.0,1.1171657650000293,0.9064418411720371,0.5156043721931609,0.7300718513229265,0.8545454545454545
"Ridge (alpha=1.0, top-100)",Poisson Regression,10.0,1.160665785919342,0.966048813750672,0.4771473150530682,0.7489796952943587,0.8090909090909091
PCA (n_components=50),Poisson Regression,0.1,1.1315039019879256,0.8809958065027017,0.5030907406149538,0.7331985270358379,0.8818181818181818
PCA (n_components=50),Poisson Regression,0.5,1.078182348252146,0.8431584870886389,0.5488204442327946,0.7461763095369919,0.8727272727272727
PCA (n_components=50),Poisson Regression,1.0,1.0782222876842644,0.8549029239072814,0.5487870172544593,0.7504345000943101,0.8909090909090909
PCA (n_components=50),Poisson Regression,5.0,1.3047465887052203,1.0939130860413873,0.3392802060903035,0.7523372924040878,0.6636363636363637
PCA (n_components=50),Poisson Regression,10.0,1.4364235014583915,1.2076615806261486,0.19918908923344814,0.7504437369501827,0.6181818181818182
"Lasso→PCA (top-100, 95%var)",Poisson Regression,0.1,1.3724776037956257,1.061239166676994,0.26890214420262226,0.6266652498279661,0.7545454545454545
"Lasso→PCA (top-100, 95%var)",Poisson Regression,0.5,1.336751228857452,1.0496823811721516,0.30646854763253517,0.6249194840680244,0.7363636363636363
"Lasso→PCA (top-100, 95%var)",Poisson Regression,1.0,1.326340896117942,1.0540680674442304,0.31722863453134353,0.6196360025088359,0.7545454545454545
"Lasso→PCA (top-100, 95%var)",Poisson Regression,5.0,1.4313977457391702,1.1782806343425558,0.20478303731277747,0.6145695870626559,0.5909090909090909
"Lasso→PCA (top-100, 95%var)",Poisson Regression,10.0,1.5107646191397064,1.253429617424481,0.11415326575646212,0.613932244007439,0.5818181818181818
"Ridge→PCA (top-100, 95%var)",Poisson Regression,0.1,1.5814052928165434,1.1976121885007622,0.029375267135201777,0.6169665511616234,0.7181818181818181
"Ridge→PCA (top-100, 95%var)",Poisson Regression,0.5,1.4047637456416013,1.0964427595335733,0.2341009016251232,0.6232614684388735,0.7636363636363637
"Ridge→PCA (top-100, 95%var)",Poisson Regression,1.0,1.3199384523542643,1.0449899959346602,0.3238044018526822,0.6213355839894141,0.7636363636363637
"Ridge→PCA (top-100, 95%var)",Poisson Regression,5.0,1.3777099920403233,1.145655951326585,0.2633170917298645,0.6146250081978921,0.6636363636363637
"Ridge→PCA (top-100, 95%var)",Poisson Regression,10.0,1.4738908843661205,1.2352756273885428,0.1568678630320668,0.607235523499726,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.1,1.4858805063186082,1.1826507392617494,0.1564345373520638,0.5755551819779379,0.7090909090909091
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.5,1.4025900283646002,1.1300450032176097,0.24835544757395223,0.5855650377824247,0.7363636363636363
"Lasso (alpha=1.0, top-100)",Poisson Regression,1.0,1.3671505801092316,1.1010911832697394,0.28585940272236554,0.5937075552171203,0.7545454545454545
"Lasso (alpha=1.0, top-100)",Poisson Regression,5.0,1.3645620926912372,1.109355065049204,0.28856107145158827,0.5895717465314342,0.6727272727272727
"Lasso (alpha=1.0, top-100)",Poisson Regression,10.0,1.4124196965933926,1.1652928927787924,0.23778314023707248,0.5772703668509315,0.6181818181818182
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.1,1.6681722649555402,1.3001866760714578,-0.06324368743438225,0.6251295576618823,0.6727272727272727
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.5,1.3345422753992449,1.0663474670385735,0.31951948825613974,0.6634999031270781,0.7545454545454545
"Ridge (alpha=1.0, top-100)",Poisson Regression,1.0,1.2524046676512537,0.9905641932959763,0.4007053849565432,0.6791440490251087,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Poisson Regression,5.0,1.2216095519302042,0.9727238745219158,0.4298149054866879,0.6752526080767037,0.7818181818181819
"Ridge (alpha=1.0, top-100)",Poisson Regression,10.0,1.2673507550332157,1.0195042014063098,0.3863161757861798,0.6617063361496736,0.7272727272727273
