dimension_reduction_type,model,n_estimators,max_depth,learning_rate,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Gradient Boosting,50,2,0.05,1.2786306423587357,1.0290946374324534,0.36546556752301695,0.6095197747809453,0.7727272727272727
"Lasso (alpha=1.0, top-100)",Gradient Boosting,50,2,0.1,1.258199233739065,1.006557970172358,0.3855821698563958,0.6224532435500116,0.8090909090909091
"Lasso (alpha=1.0, top-100)",Gradient Boosting,50,3,0.05,1.2430145736386469,1.0023483711491386,0.40032296361417086,0.6235893768223546,0.7727272727272727
"Lasso (alpha=1.0, top-100)",Gradient Boosting,50,3,0.1,1.2203595703867756,0.9768051310359738,0.42198301512321645,0.6478361234882117,0.8272727272727273
"Lasso (alpha=1.0, top-100)",Gradient Boosting,50,5,0.05,1.2558588165695728,0.9845626759114987,0.3878658409487463,0.5999799732117144,0.8090909090909091
"Lasso (alpha=1.0, top-100)",Gradient Boosting,50,5,0.1,1.2312938532851485,0.9452949729649954,0.41157867933771997,0.6251781160324602,0.8090909090909091
"Lasso (alpha=1.0, top-100)",Gradient Boosting,100,2,0.05,1.263443578685496,1.0060437176432964,0.38044954176573265,0.6195205418104269,0.7727272727272727
"Lasso (alpha=1.0, top-100)",Gradient Boosting,100,2,0.1,1.2597479517884593,0.9960985047970936,0.38406866452956956,0.6244160754229618,0.8090909090909091
"Lasso (alpha=1.0, top-100)",Gradient Boosting,100,3,0.05,1.240402885096278,0.9936858106060033,0.40284027007962653,0.6309880983763932,0.8272727272727273
"Lasso (alpha=1.0, top-100)",Gradient Boosting,100,3,0.1,1.223946603800113,0.9496362878823524,0.41858006170318995,0.6490461516075364,0.8
"Lasso (alpha=1.0, top-100)",Gradient Boosting,100,5,0.05,1.253321830784301,0.9697245622761714,0.39033651207986286,0.6068013912737088,0.8181818181818182
"Lasso (alpha=1.0, top-100)",Gradient Boosting,100,5,0.1,1.2542521030808176,0.9511194303727081,0.389431136425452,0.6149529165813731,0.7818181818181819
"Lasso (alpha=1.0, top-100)",Gradient Boosting,200,2,0.05,1.254300938091427,0.98501599665087,0.389383589816073,0.6252243003118239,0.8090909090909091
"Lasso (alpha=1.0, top-100)",Gradient Boosting,200,2,0.1,1.2817490906390816,1.003063572779299,0.3623666650826032,0.607665037297807,0.8090909090909091
"Lasso (alpha=1.0, top-100)",Gradient Boosting,200,3,0.05,1.2639279685038374,0.9889834967891894,0.37997439357995033,0.619363515260591,0.7818181818181819
"Lasso (alpha=1.0, top-100)",Gradient Boosting,200,3,0.1,1.2522591712811308,0.9618642449335109,0.39136990993398035,0.6372045023787254,0.8090909090909091
"Lasso (alpha=1.0, top-100)",Gradient Boosting,200,5,0.05,1.257242120872143,0.9651390807777477,0.38651659029412,0.6116184116113257,0.7909090909090909
"Lasso (alpha=1.0, top-100)",Gradient Boosting,200,5,0.1,1.267891543070145,0.959526302163358,0.37607959724260975,0.6055544157308932,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Gradient Boosting,50,2,0.05,1.173109901413123,0.9712865581685471,0.4658756487810677,0.7040423914736368,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Gradient Boosting,50,2,0.1,1.0923690558976888,0.8856090569566691,0.5368691022959335,0.7283999804099663,0.8272727272727273
"Ridge (alpha=1.0, top-100)",Gradient Boosting,50,3,0.05,1.1515765357781254,0.9456024083991196,0.48530423836180236,0.6882658416430524,0.8090909090909091
