dimension_reduction_type,model,n_estimators,max_depth,learning_rate,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Gradient Boosting,50,2,0.05,1.3633193902849403,1.1233027694564937,0.28985629179590433,0.5350639089816209,0.6727272727272727
"Lasso (alpha=1.0, top-100)",Gradient Boosting,50,2,0.1,1.3725180192422444,1.1160533154581818,0.2802409571173604,0.5258517063573164,0.7090909090909091
"Lasso (alpha=1.0, top-100)",Gradient Boosting,50,3,0.05,1.3241567546170472,1.0892888508978948,0.33006939149783043,0.5640883411738113,0.7181818181818181
"Lasso (alpha=1.0, top-100)",Gradient Boosting,50,3,0.1,1.340894635361285,1.0858205185590988,0.31302595850825277,0.5522203684235811,0.7454545454545455
"Lasso (alpha=1.0, top-100)",Gradient Boosting,50,5,0.05,1.3310777566182623,1.0928991528036043,0.3230480050085808,0.5492971770002534,0.7454545454545455
"Lasso (alpha=1.0, top-100)",Gradient Boosting,50,5,0.1,1.319654609800819,1.0694566863065802,0.3346171871881184,0.5578961549253423,0.7454545454545455
"Lasso (alpha=1.0, top-100)",Gradient Boosting,100,2,0.05,1.3603974811290012,1.1141901182400524,0.292897034620235,0.5261421812148396,0.7
"Lasso (alpha=1.0, top-100)",Gradient Boosting,100,2,0.1,1.399560123185137,1.1475541734207897,0.25159937747447214,0.49632931726651514,0.6909090909090909
"Lasso (alpha=1.0, top-100)",Gradient Boosting,100,3,0.05,1.3217103021654988,1.06651895194448,0.3325425720265873,0.566384475761851,0.7363636363636363
"Lasso (alpha=1.0, top-100)",Gradient Boosting,100,3,0.1,1.3620129238430525,1.0893665128705978,0.29121669844145504,0.5335193204535218,0.7090909090909091
"Lasso (alpha=1.0, top-100)",Gradient Boosting,100,5,0.05,1.3368820739440763,1.079577443037839,0.31713127905650706,0.5479739026493148,0.7545454545454545
"Lasso (alpha=1.0, top-100)",Gradient Boosting,100,5,0.1,1.3266350635966913,1.072591566809225,0.32755934311892443,0.5601600145292128,0.7454545454545455
"Lasso (alpha=1.0, top-100)",Gradient Boosting,200,2,0.05,1.3985459335495523,1.149026520603737,0.2526836397802058,0.4960203995608953,0.6909090909090909
"Lasso (alpha=1.0, top-100)",Gradient Boosting,200,2,0.1,1.4229953745611017,1.1533631377337104,0.22632600916133416,0.49020629169840885,0.6727272727272727
"Lasso (alpha=1.0, top-100)",Gradient Boosting,200,3,0.05,1.3605681827028326,1.0970650333865581,0.29271957007238025,0.5391397784109929,0.7181818181818181
"Lasso (alpha=1.0, top-100)",Gradient Boosting,200,3,0.1,1.393681215181861,1.1011056825513235,0.2578735454998725,0.5234818003768898,0.7090909090909091
"Lasso (alpha=1.0, top-100)",Gradient Boosting,200,5,0.05,1.3343144452205342,1.0735236775404926,0.31975180875422016,0.558228126191083,0.7545454545454545
"Lasso (alpha=1.0, top-100)",Gradient Boosting,200,5,0.1,1.3284543370204118,1.0733735143061809,0.3257137832222383,0.5590949400516283,0.7545454545454545
"Ridge (alpha=1.0, top-100)",Gradient Boosting,50,2,0.05,1.2959647769078497,1.0711129590376902,0.3582920551287275,0.6148891662561866,0.7272727272727273
"Ridge (alpha=1.0, top-100)",Gradient Boosting,50,2,0.1,1.255641463419444,1.014202414374097,0.3976036703286089,0.6400452110600929,0.7909090909090909
"Ridge (alpha=1.0, top-100)",Gradient Boosting,50,3,0.05,1.317847575108858,1.0662744450448571,0.3364381888355933,0.5861229339373503,0.7090909090909091
"Ridge (alpha=1.0, top-100)",Gradient Boosting,50,3,0.1,1.2971611949246504,1.0316019222802797,0.35710667517187167,0.6099464829662695,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Gradient Boosting,50,5,0.05,1.3246205043029489,1.0716849695251747,0.3296000595825711,0.5856019234786181,0.7636363636363637
