dimension_reduction_type,model,n_estimators,max_depth,learning_rate,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,2,0.05,1.254223567621391,1.0056813711883636,0.38945891818447353,0.6317977474215556,0.7909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,2,0.1,1.2400260090620383,0.9599857118117527,0.40320308929564574,0.6385530833361408,0.7727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,3,0.05,1.216849051447432,0.972140114197067,0.4253037102417555,0.6486674405167555,0.7818181818181819
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,3,0.1,1.2087531352710508,0.9200671909356947,0.4329253875245733,0.6605321818852482,0.8181818181818182
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,5,0.05,1.2672845038634404,1.00321561887407,0.3766768935667786,0.6012962251735751,0.7454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,5,0.1,1.2947528169638498,0.9919686440948333,0.34936307511760734,0.5868636378724696,0.7636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,2,0.05,1.2467494683057294,0.9763985171016238,0.3967138419194417,0.6272056058965196,0.8
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,2,0.1,1.2425753082014959,0.9668895765936536,0.40074672510008624,0.6445662765092733,0.7818181818181819
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,3,0.05,1.2283882633485648,0.9531417443665423,0.41435249939237595,0.6411440214084352,0.8090909090909091
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,3,0.1,1.2316387105482771,0.9147758614168664,0.41124902645674954,0.6548792260911512,0.8
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,5,0.05,1.2579290547284492,0.977082638005429,0.3858460151580345,0.6060809165156376,0.7636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,5,0.1,1.3030833923492635,0.9909974698135056,0.3409636078477283,0.5816309590205808,0.7636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,2,0.05,1.2444620540355749,0.957422896887138,0.39892551232978113,0.6355418683216381,0.7818181818181819
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,2,0.1,1.2812275079963615,0.9710526902203683,0.36288550424417976,0.6195898182294722,0.7909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,3,0.05,1.2387344857197524,0.9409941972578909,0.40444560476174973,0.6423771416674416,0.7909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,3,0.1,1.2701004550065178,0.928021042118712,0.37390372381723314,0.6262773018813125,0.7909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,5,0.05,1.2790484761155492,0.9846579377945927,0.36505079062524215,0.5940499117414362,0.7636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,5,0.1,1.3126148008487313,0.9930780937916214,0.3312872996398971,0.5788829943984505,0.7818181818181819
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,2,0.05,1.174553535361691,0.983220915876065,0.46456024859151823,0.709385912595998,0.8
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,2,0.1,1.096804191972227,0.8934293008217192,0.53310074512808,0.7370318222230116,0.8181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,3,0.05,1.1504829044707396,0.9506252124991816,0.48628136858156623,0.7065825268386313,0.8181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,3,0.1,1.1074744964357948,0.8847265907377796,0.5239720586639024,0.7203731526565836,0.8363636363636363
